Numbers	Names	Types	No_Tones	Register	Harmonicity	Roughness	Sharpness
61	"G-C-D#"	"minor"	3	"high"	0.587183775909973	0.164032327821725	0.896281794852907
62	"G#-C#-E"	"minor"	3	"high"	0.624095922197007	0.0845160486651518	0.949846110091359
63	"A-D-F"	"minor"	3	"high"	0.639256228731261	0.170633211955757	0.934124325734304
64	"A#-D#-F#"	"minor"	3	"high"	0.603979940164836	0.190723717030311	0.998244739198938
65	"B-E-G"	"minor"	3	"high"	0.589249316227245	0.133379845942682	1.06422809211148
66	"C-F-G#"	"minor"	3	"high"	0.601129440888089	0.16183486334541	1.01096204177237
67	"G-B-D"	"major"	3	"low"	0.58200249017991	0.256488936470756	1.02792340443363
68	"G#-C-D#"	"major"	3	"low"	0.547621107492175	0.242932632209663	1.08307339896114
69	"A-C#-E"	"major"	3	"low"	0.497629515087487	0.232331944019625	1.15422914255973
70	"A#-D-F"	"major"	3	"low"	0.543967634305116	0.0809700640037615	1.19304643990878
71	"B-D#-F#"	"major"	3	"low"	0.549968913193632	0.152506016402392	1.15868790671868
72	"C-E-G"	"major"	3	"low"	0.517386869375428	0.451293871618283	1.22391289755805
73	"C#-F-G#"	"major"	3	"low"	0.641704425940787	1.71991323344344	0.790735840411722
74	"D-F#-A"	"major"	3	"low"	0.613271582609304	1.60225473834375	0.708777254787086
75	"D#-G-A#"	"major"	3	"low"	0.743988295744739	1.21858778368607	0.769445480252279
76	"E-G#-B"	"major"	3	"low"	0.639624608779494	1.2325598244664	0.789409455179304
77	"F-A-C"	"major"	3	"low"	0.689087433852237	0.981050405958429	0.749940740322827
78	"B-D-G"	"major"	3	"low"	0.713022059074793	0.904943933230954	0.74879582664651
79	"C-D#-G#"	"major"	3	"low"	0.692278685687423	0.825234208928105	0.80313470613042
80	"C#-E-A"	"major"	3	"low"	0.590273295995334	0.759252980961373	0.774082460975953
81	"D-F-A#"	"major"	3	"low"	0.611920327882851	0.672827960618102	0.805901998233484
82	"D#-F#-B"	"major"	3	"low"	0.779183666006481	0.800401529831911	0.882931197019733
83	"E-G-C"	"major"	3	"low"	0.733308804606617	0.58376080706517	0.925566817849118
84	"F-G#-C#"	"major"	3	"low"	0.758069912038444	0.479483069058922	0.830555530166779
85	"F#-A-D"	"major"	3	"low"	0.73772767644814	0.437522366345051	0.908678278094619
86	"G-A#-D#"	"major"	3	"low"	0.71851217891154	0.926359882503648	0.798149503841557
87	"G#-B-E"	"major"	3	"low"	0.667276481680328	1.11724355641928	0.738291689591586
88	"A-C-F"	"major"	3	"low"	0.644773492775796	0.722352374218076	0.816003732032799
89	"D-G-B"	"major"	3	"low"	0.599584423844697	0.962112843134795	0.838652583587884
90	"D#-G#-C"	"major"	3	"low"	0.639092340247156	0.752868565171481	0.817955912106968
91	"E-A-C#"	"major"	3	"low"	0.632774870384839	0.662022656219566	0.855146629967418
92	"F-A#-D"	"major"	3	"low"	0.590482205734218	0.809819320139174	0.827771016759003
93	"F#-B-D#"	"major"	3	"low"	0.610440388277572	0.452738952703782	0.795165481169498
94	"G-C-E"	"major"	3	"low"	0.585649580686679	0.45227196363283	0.837727072161956
95	"G#-C#-F"	"major"	3	"low"	0.731920802754629	0.563569192866162	0.903726999757776
96	"A-D-F#"	"major"	3	"low"	0.720832310677468	0.430796981721	0.93177928641775
97	"A#-D#-G"	"major"	3	"low"	0.714479546885861	0.582329844800581	0.908052098242968
98	"B-E-G#"	"major"	3	"low"	0.712480269954947	0.398613939018219	0.953465027752818
99	"C-F-A"	"major"	3	"low"	0.786016820058776	0.756644121952949	0.855095092014972
100	"G-A#-D"	"minor"	3	"low"	0.803229384205269	0.771397994260074	0.824894826370205
101	"G#-B-D#"	"minor"	3	"low"	0.804866760421632	0.488659541325644	0.819342663710923
102	"A-C-E"	"minor"	3	"low"	0.766757632140385	0.445406204868955	0.890254389666292
103	"A#-C#-F"	"minor"	3	"low"	0.792250266289566	0.433612396865535	0.837601699074725
104	"B-D-F#"	"minor"	3	"low"	0.780539785654832	0.292728965926117	0.866161340705051
105	"C-D#-G"	"minor"	3	"low"	0.792070475626505	0.305249580289101	0.834954227656721
106	"C#-E-G#"	"minor"	3	"low"	0.782550090546036	0.210224517406191	0.863348126923094
107	"D-F-A"	"minor"	3	"low"	0.782836833815621	0.192355246693493	0.8822342136629
108	"D#-F#-A#"	"minor"	3	"low"	0.55138972237302	0.22079768006497	0.950189207264756
109	"E-G-B"	"minor"	3	"low"	0.720784842529369	0.303836712596044	0.96922285331256
110	"F-G#-C"	"minor"	3	"low"	0.741406667521396	0.288601507396762	0.877553082677829
111	"A#-D-G"	"minor"	3	"low"	0.783239503044901	0.108775499402862	0.918533392390813
112	"B-D#-G#"	"minor"	3	"low"	0.627829199915982	1.75653681921741	0.778033715626224
113	"C-E-A"	"minor"	3	"low"	0.666600866322885	1.72988851612883	0.746575947682395
114	"C#-F-A#"	"minor"	3	"low"	0.59876775389425	1.52373081221687	0.751710005949876
115	"D-F#-B"	"minor"	3	"low"	0.597850890477853	1.3519176368234	0.816477155388298
116	"D#-G-C"	"minor"	3	"low"	0.685077112632843	0.938815580837501	0.780368064889751
117	"E-G#-C#"	"minor"	3	"low"	0.715012376650585	0.983041668312708	0.719545947164081
118	"F-A-D"	"minor"	3	"low"	0.6772935462822	0.766274015749143	0.785706172554211
119	"F#-A#-D#"	"minor"	3	"low"	0.724408334694296	0.870340880298875	0.813515508660159
120	"G-B-E"	"minor"	3	"low"	0.632838344117865	0.755044757556579	0.785769504287539
121	"G#-C-F"	"minor"	3	"low"	0.609417477610491	0.706763306257068	0.875700704727805
122	"D-G-A#"	"minor"	3	"low"	0.581838843241991	0.799008103676834	0.900598348738409
123	"D#-G#-B"	"minor"	3	"low"	0.709065532581734	0.441966234476171	0.792664625473226
